category,name,forkedFrom,tvl,chain
Prediction Market,CatsLuck,,8487.195909203183,smartBCH
Dexes,Energyfi,['Uniswap V2'],8378.311522174115,Moonbeam
Dexes,BSCStation,,8293.18961949406,Binance
Dexes,DolphinSwap,,8238.555765531026,EOS
Farm,OnyxDAO,,8237.224259585768,Arbitrum
Yield,DAOventures,,8232.718004487599,Ethereum
Dexes,Doge Shrek,['Uniswap V2'],8159.41852396802,Dogechain
Algo-Stables,SaharaDAO,['Fantasm'],8139.322967405126,Cronos
Dexes,ZenithSwap,['Uniswap V2'],8065.75825989964,Arbitrum
CDP,Milkomeda-C1 Djed,,8031.7239958380005,Milkomeda
Yield,ArbiRise Finance,,7859.332141,Arbitrum
Prediction Market,Entropyfi,,7848.801795251127,Polygon
Yield,Cyber Dog,,7829.9930536663105,Cronos
Staking Pool,PlsPrint,,7703.743917280367,Pulse
Yield,MarshmallowDeFi,,7640.538214836326,Binance
Yield,Brinc Finance,,7596.643207545385,Arbitrum
Dexes,Pear DAO,,7383.906545636644,Binance
Bridge,Equito Finance,,7357.134387792211,Multi-Chain
Dexes,Solanax,,7209.912348,Solana
Synthetics,Crafting Finance,,7193.4344068573355,Multi-Chain
CDP,BOB CDP,,7101.435705062404,Polygon
Yield,GoblinGold,,7029.335339159337,Solana
Dexes,Gamut Exchange,,7021.815550764588,Kava
Dexes,Amaterasu Finance,,6995.055116705851,Aurora
Farm,Carbon Finance,['ArbiNYAN'],6851.649762892548,Arbitrum
Yield,PRISM Protocol,,6841.907164341232,Terra
Yield,Buffaloswap,,6807.297132640408,Binance
Yield,FATFIRE DEFI,,6804.724649173957,Fantom
Dexes,ScarySwap,['Uniswap V2'],6654.208717669016,Fantom
Dexes,DogMoney,['Uniswap V2'],6576.284647695419,Dogechain
Dexes,OortSwap,['Uniswap V2'],6500.935306444267,REI
CDP,DEUS Finance,,6428.093057,Multi-Chain
Liquid Staking,StakedICP,,6381.200000000001,ICP
Dexes,BarnSwap,['Uniswap V2'],6249.729312836043,MUUCHAIN
Yield,Baker Guild,,6235.818279282453,Fantom
Yield,FantomPup,,6037.727600552695,Fantom
Dexes,ZyberSwap Stableswap,,5981.057880017476,Arbitrum
Dexes,Bitgert Swap,['Uniswap V2'],5936.237028031595,Bitgert
Yield Aggregator,Earnmos,,5909.781803,Multi-Chain
Gaming,Luchadores,,5893.811371015319,Polygon
Dexes,Algodex,,5862.114224104423,Algorand
Yield,PureFi,,5853.679799866225,Multi-Chain
Algo-Stables,Chocodoge,['Tomb Finance'],5779.18832002574,Dogechain
Yield,Salem Finance,,5775.840438690535,Multi-Chain
Yield,Moneyrain Finance,,5618.678763746467,Fantom
Dexes,zkSwap Era,['Uniswap V2'],5585.864373335586,zkSync Era
Lending,BNPL Pay,,5584.561983,Ethereum
Yield,KingDefi,,5443.70979147745,Multi-Chain
Yield Aggregator,Double Club,['Solidex'],5374.879555525715,Binance
Synthetics,Kalata,,5275.047196803917,Binance
Dexes,SMBSwap V2,['Uniswap V2'],5180.995161550969,Binance
Yield,Unknown,,5107.579905734824,Binance
Derivatives,Predy V3,,5071.7729557713565,Arbitrum
Dexes,casinocronos,['Uniswap V2'],5045.685195360517,Cronos
Dexes,EmberSwap,['Uniswap V2'],5022.7894863745605,smartBCH
Yield,Waterfall Finance Yield,,4947.325906692455,Fantom
Dexes,HopSwap,['Uniswap V2'],4946.877530510691,Cronos
Yield,CZODIAC,"['Synthetix', 'Olive.cash']",4945.7634018795425,Binance
Launchpad,Infinity Pad,,4942.39661627797,Multi-Chain
Derivatives,BFX Finance,,4897.209610683658,Binance
Yield,Soluna,,4816.971301429062,Terra
Lending,Agile Finance,"['Compound', 'Uniswap']",4779.942329875652,Cronos
Yield,Defirex,,4726.138199307672,Ethereum
Yield,OneRing,,4617.081135662941,Multi-Chain
Lending,Lending Pond,,4548.023162,Cardano
Dexes,DynastySwap,['Uniswap V2'],4420.20799353578,Pulse
Yield,Scranton Finance,,4419.380444063724,Fantom
Lending,Fortress Loans,['Compound'],4386.807356767188,Binance
Dexes,BeamSwap Stable AMM,['Uniswap V2'],4379.460467121386,Moonbeam
Derivatives,BayMax,['GMX'],4343.351438913392,Avalanche
Yield,Polyquail,,4337.866215711423,Polygon
Synthetics,QIAN,,4236.945539257095,Ethereum
Dexes,ElasticSwap,,4218.499641711625,Multi-Chain
Yield,RetroDefi,,4207.391913433261,Multi-Chain
Synthetics,Argano,"['Frax', 'Uniswap']",4120.84647687197,Polygon
Lending,Sculptor Finance,['AAVE'],4117.582350823987,Binance
Yield,Blizzard,,4102.2458014425165,Avalanche
Dexes,Gondola Finance,['Saddle Finance'],4059.4696824004636,Avalanche
Gaming,Farm Hero,,4015.0869612202387,Multi-Chain
Dexes,DogeMuskSwap,['Uniswap V2'],3994.4014053458895,Dogechain
Dexes,Dino.Exchange,['Uniswap V2'],3814.4528181358123,Binance
Farm,CryptoYieldFocus,['Goose Finance'],3762.178105418691,Avalanche
Dexes,Greenhouse,,3698.4033421192944,Polygon
Launchpad,Antex,,3671.4507899382666,Binance
Yield,BlackBird Finance,,3663.999003517108,Cronos
Dexes,Jujube Finance,['Uniswap V2'],3625.7124938008,Aptos
Farm,Cemetery Finance,['Goose Finance'],3539.93621363377,Fantom
Dexes,Lunagens,,3512.3736380586943,Lung
Dexes,EsdtMarket,,3492.069419302846,Elrond
Dexes,FNDZ,,3455.133733564081,Binance
Dexes,QuasarSwap,['Uniswap V2'],3442.1926991379255,Nova Network
Options,Grappa Finance,,3419.7469711997123,Ethereum
Yield,Polyroll,,3406.1731637580033,Polygon
Dexes,GooseFX,,3391.2335968389,Solana
Yield,ScareCrow Finance,,3362.2988842301083,Fantom
Yield,Kyrios Finance,,3252.0099104150718,Fantom
Dexes,Milkydex,,3231.5778539362145,Milkomeda
Dexes,WraithSwap,['Uniswap V2'],3205.748186929034,Fantom
Farm,Frog Nation Farm,['Goose Finance'],3146.1109428695245,Fantom
Dexes,VultureSwap,['Uniswap V2'],3138.8936387671874,Cronos
Dexes,TFM,['Terraswap'],3133.3485310122446,Terra
Dexes,1Beam,['Uniswap V2'],3093.6481459002994,Moonbeam
Dexes,Bourbon Defi,['Uniswap V2'],3059.9075155176592,Dogechain
Yield,Billion Happiness,,3057.635981152205,Multi-Chain
Yield,KungFuu,['Titano Finance'],3042.203547058875,Fantom
Yield,Seeder Finance,,3016.7824422040485,Binance
Farm,Astral Farm,['Goose Finance'],2978.1531645130735,Fantom
Lending,BonqDAO,,2974.140372378719,Polygon
Dexes,Oni Exchange,['Uniswap V2'],2972.039329574222,Binance
NFT Marketplace,Kanvas,,2963.630800567327,Kava
Yield Aggregator,YieldHub Finance,['Beefy'],2930.34,Telos
Privacy,Tonic Cash,['Tornado Cash'],2887.3277,Multi-Chain
Farm,Milko Farm,['Goose Finance'],2881.0180589839215,Milkomeda
Yield Aggregator,Fastyield Finance,,2880.2417430226296,Fantom
Dexes,Elephantdex,['Uniswap V2'],2866.851457795699,Harmony
Dexes,Surfswap Stable AMM,['Uniswap V2'],2860.267929997207,Kava
Dexes,FATExFi,['Uniswap V2'],2855.2388972418535,Polygon
Algo-Stables,V3S Finance,['Tomb Finance'],2826.792505270038,Cronos
