category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Yield,CLever,0,12607427.465226658,12607427.465226658,0,[]
Yield,WOOFi Earn,0,12308804.333217498,12308804.333217498,0,[]
Yield,Pirex,0,11432894.08652922,11432894.08652922,0,[]
Yield,Rage Trade,1,11713328.938323865,11264347.856667155,448981.08165670966,['Vaultka']
Yield,Sphere Finance,0,9853342.11363938,9853342.11363938,0,[]
Yield,cVault Finance,0,9301889.967225969,9301889.967225969,0,[]
Yield,MoonFarm,0,8763549.0,8763549.0,0,[]
Yield,Dot Dot Finance,0,8399201.362871425,8399201.362871425,0,[]
Yield,Proxy,0,7524399.617689339,7524399.617689339,0,[]
Yield,Redacted Protocol,0,6750330.379290723,6750330.379290723,0,[]
Yield,FLRFarm,0,6328943.538354479,6328943.538354479,0,[]
Yield,Echidna Finance,0,6155286.140959817,6155286.140959817,0,[]
Yield,TokensFarm,0,6056670.316262514,6056670.316262514,0,[]
Yield,Back Finance,0,5605395.870216676,5605395.870216676,0,[]
Yield,Liquid Driver,1,5710152.4377623405,5350688.715122312,359463.72264002834,['Comb Financial']
Yield,Kine Finance,0,4958089.502483907,4958089.502483907,0,[]
Yield,Impermax Finance,0,4786259.999936395,4786259.999936395,0,[]
Yield,Flashstake,0,4697672.331401526,4697672.331401526,0,[]
Yield,Bunny,0,4356367.092419802,4356367.092419802,0,[]
Yield,Single Finance,0,4009509.149279604,4009509.149279604,0,[]
Yield,Ceres Demeter,0,3965857.1649739314,3965857.1649739314,0,[]
Yield,BabelFish,0,3947714.2471757466,3947714.2471757466,0,[]
Yield,Ethernity Chain,0,3859476.314874141,3859476.314874141,0,[]
Yield,KordFi,0,3548262.61,3548262.61,0,[]
Yield,GrizzlyFi,0,3466162.4782579658,3466162.4782579658,0,[]
Yield,Arbi's Finance,0,3189457.337444056,3189457.337444056,0,[]
Yield,Gro,0,2948635.236487165,2948635.236487165,0,[]
Yield,Bow,0,2911456.5823166776,2911456.5823166776,0,[]
Yield,Brahma,0,2665060.5119489105,2665060.5119489105,0,[]
Yield,Extra Finance,0,2365370.3079222483,2365370.3079222483,0,[]
Yield,Sunny,0,2316610.1134645776,2316610.1134645776,0,[]
Yield,SingularityDAO,0,2195419.126944452,2195419.126944452,0,[]
Yield,Zookeeper,0,2046295.38976243,2046295.38976243,0,[]
Yield,UniFarm,0,1863732.2692886996,1863732.2692886996,0,[]
Yield,Cyclone,0,1811298.316652761,1811298.316652761,0,[]
Yield,Pods Yield,0,1678974.470644796,1678974.470644796,0,[]
Yield,Rodeo,0,1669199.560669,1669199.560669,0,[]
Yield,GoodDollar,0,1608151.7497815336,1608151.7497815336,0,[]
Yield,DELV,0,1568624.4331146246,1568624.4331146246,0,[]
Yield,Geyser,0,1560627.6000348665,1560627.6000348665,0,[]
Yield,Kalmy App,0,1554237.424190604,1554237.424190604,0,[]
